127.0.0.1 - - [31/Jul/2025:23:55:02 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:55:03 +0530] "GET /My_WeatherApp/ HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:55:03 +0530] "GET /My_WeatherApp/images/weather-logo.png HTTP/1.1" 200 56986
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:55:03 +0530] "GET /My_WeatherApp/style.css HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:55:03 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:55:15 +0530] "POST /My_WeatherApp/MyServlet HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:55:15 +0530] "GET /My_WeatherApp/myScript.js HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:55:52 +0530] "POST /My_WeatherApp/MyServlet HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:56:06 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:57:59 +0530] "POST /My_WeatherApp/MyServlet HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:57:59 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:58:00 +0530] "POST /My_WeatherApp/MyServlet HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:58:00 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:58:06 +0530] "POST /My_WeatherApp/MyServlet HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:58:06 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:58:12 +0530] "POST /My_WeatherApp/MyServlet HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:58:12 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:58:16 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:58:19 +0530] "POST /My_WeatherApp/MyServlet HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [31/Jul/2025:23:58:19 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
